@relation   union_files_*.arff_(total_attributes:_6_total_instances:_198)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING {LOW,HIGH}
@attribute COMMUNICATING {LOW,HIGH}
@attribute WORKING/DOING {LOW,HIGH}
@attribute ENGAGEMENT {LOW,HIGH}
@attribute EVALUATING/EXAMINING {LOW,HIGH}
@attribute final_score {Fail,Pass}

@data
LOW,HIGH,HIGH,HIGH,?,Pass
LOW,LOW,LOW,LOW,?,Fail
HIGH,HIGH,LOW,HIGH,?,Fail
HIGH,LOW,HIGH,HIGH,?,Fail
LOW,LOW,HIGH,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Pass
LOW,HIGH,HIGH,LOW,?,Pass
LOW,LOW,LOW,HIGH,?,Fail
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Fail
LOW,HIGH,LOW,HIGH,?,Pass
LOW,LOW,LOW,LOW,?,Pass
LOW,HIGH,LOW,LOW,?,Pass
LOW,HIGH,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Pass
LOW,HIGH,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Pass
LOW,HIGH,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,HIGH,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Fail
LOW,HIGH,LOW,LOW,?,Pass
LOW,LOW,LOW,LOW,?,Fail
LOW,HIGH,LOW,LOW,?,Fail
LOW,LOW,LOW,LOW,?,Pass
