@relation   union_files_*.arff_(total_attributes:_6_total_instances:_148)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING {LOW,HIGH}
@attribute COMMUNICATING {LOW,HIGH}
@attribute WORKING/DOING {LOW,HIGH}
@attribute EVALUATING/EXAMINING {LOW,HIGH}
@attribute ENGAGEMENT {LOW,HIGH}
@attribute final_score {Fail,Pass}

@data
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
HIGH,HIGH,HIGH,HIGH,HIGH,Pass
HIGH,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
HIGH,LOW,HIGH,LOW,HIGH,Fail
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
HIGH,LOW,LOW,LOW,HIGH,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
HIGH,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
HIGH,HIGH,HIGH,HIGH,HIGH,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
HIGH,LOW,LOW,LOW,HIGH,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,HIGH,HIGH,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,HIGH,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,HIGH,HIGH,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
HIGH,LOW,LOW,LOW,HIGH,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
HIGH,HIGH,LOW,LOW,HIGH,Pass
LOW,LOW,LOW,LOW,HIGH,Fail
LOW,LOW,LOW,LOW,LOW,Pass
LOW,HIGH,HIGH,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
HIGH,HIGH,HIGH,LOW,HIGH,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
HIGH,HIGH,HIGH,LOW,HIGH,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
HIGH,HIGH,LOW,LOW,HIGH,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
HIGH,LOW,HIGH,HIGH,HIGH,Pass
LOW,LOW,LOW,HIGH,LOW,Pass
LOW,LOW,LOW,LOW,HIGH,Fail
HIGH,LOW,LOW,HIGH,HIGH,Fail
LOW,LOW,LOW,LOW,LOW,Fail
HIGH,HIGH,HIGH,HIGH,HIGH,Pass
LOW,LOW,LOW,HIGH,LOW,Fail
LOW,LOW,LOW,HIGH,LOW,Pass
HIGH,LOW,LOW,LOW,HIGH,Pass
LOW,LOW,LOW,HIGH,LOW,Pass
LOW,LOW,LOW,HIGH,LOW,Fail
HIGH,HIGH,HIGH,HIGH,HIGH,Pass
HIGH,LOW,HIGH,HIGH,HIGH,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
HIGH,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,HIGH,LOW,Fail
LOW,LOW,HIGH,LOW,LOW,Pass
HIGH,HIGH,HIGH,HIGH,HIGH,Pass
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Pass
HIGH,LOW,HIGH,HIGH,LOW,Pass
LOW,LOW,LOW,HIGH,LOW,Pass
HIGH,LOW,LOW,HIGH,HIGH,Fail
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,HIGH,LOW,HIGH,Fail
LOW,LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Pass
HIGH,LOW,LOW,HIGH,HIGH,Pass
HIGH,HIGH,HIGH,HIGH,HIGH,Pass
LOW,LOW,HIGH,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,LOW,Fail
