@relation logs_15122016-1239.xls-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute LEARNING/READING/VIEWING {LOW,HIGH}
@attribute COMMUNICATING {LOW,HIGH}
@attribute WORKING/DOING {LOW,HIGH}
@attribute ENGAGEMENT {LOW,HIGH}
@attribute final_score {Fail,Pass}

@data

HIGH,LOW,HIGH,HIGH,Fail
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,Fail
HIGH,HIGH,HIGH,HIGH,Pass
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Fail
HIGH,LOW,LOW,HIGH,Pass
LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Fail
HIGH,HIGH,HIGH,HIGH,Pass
LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,Fail
HIGH,LOW,LOW,HIGH,Fail
LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Fail
HIGH,HIGH,HIGH,HIGH,Pass
LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,Fail
HIGH,HIGH,LOW,HIGH,Fail
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Fail
LOW,HIGH,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Fail
HIGH,HIGH,LOW,HIGH,Fail
LOW,LOW,LOW,LOW,Fail
HIGH,LOW,LOW,HIGH,Fail
LOW,LOW,LOW,LOW,Fail
HIGH,HIGH,LOW,HIGH,Fail
HIGH,LOW,HIGH,HIGH,Fail
HIGH,LOW,LOW,LOW,Fail
HIGH,LOW,HIGH,HIGH,Fail
LOW,LOW,LOW,LOW,Pass
LOW,HIGH,LOW,HIGH,Pass
HIGH,HIGH,HIGH,HIGH,Pass
HIGH,LOW,LOW,LOW,Pass
LOW,HIGH,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,Fail
HIGH,HIGH,LOW,HIGH,Fail
HIGH,HIGH,LOW,HIGH,Fail
LOW,HIGH,LOW,LOW,Fail
HIGH,LOW,LOW,HIGH,Pass
HIGH,HIGH,LOW,HIGH,Pass
LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,Fail
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Pass
HIGH,HIGH,HIGH,HIGH,Pass
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Pass
HIGH,HIGH,HIGH,HIGH,Pass
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Pass
HIGH,HIGH,HIGH,HIGH,Pass
LOW,LOW,LOW,LOW,Pass
LOW,HIGH,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Pass
LOW,HIGH,LOW,HIGH,Pass
HIGH,HIGH,HIGH,HIGH,Pass
LOW,LOW,LOW,LOW,Pass
LOW,HIGH,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Pass
LOW,HIGH,LOW,HIGH,Pass
LOW,LOW,LOW,LOW,Pass
LOW,LOW,LOW,LOW,Pass
