@relation   union_files_*.arff_(total_attributes:_5_total_instances:_147)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute ENGAGEMENT numeric
@attribute final_score {Fail,Pass}

@data
177,4,5,130.5,Fail
182,3,14,134,Fail
276,12,9,193.5,Pass
113,1,4,74,Fail
220,1,4,138,Fail
211,4,45,148,Pass
117,1,3,89.5,Fail
192,152,12,213,Pass
68,0,8,44,Fail
78,0,4,49,Fail
76,2,6,53,Pass
88,3,18,81,Fail
112,5,4,81.5,Pass
124,4,7,97.5,Pass
193,10,19,134.5,Pass
83,0,12,60,Fail
181,9,5,122.5,Pass
48,0,11,35.5,Fail
273,19,7,179,Pass
362,12,18,258.5,Pass
230,28,22,174,Pass
150,1,9,101,Pass
53,3,8,46.5,Fail
208,14,3,148,Pass
67,1,8,51,Fail
256,21,6,162.5,Fail
154,1,8,104.5,Fail
127,13,4,122.5,Fail
106,6,2,70,Fail
98,3,8,68.5,Fail
169,33,5,145.5,Pass
239,2,14,144.5,Pass
208,5,8,131.5,Pass
119,1,18,83.5,Pass
116,4,7,86,Fail
97,3,8,69.5,Fail
131,21,4,109.5,Pass
263,55,5,198,Pass
208,29,9,151.5,Pass
101,1,3,71,Fail
210,3,13,164,Pass
202,1,14,152,Pass
331,20,24,246.5,Fail
127,16,2,92.5,Fail
202,23,12,146.5,Pass
94,5,9,70.5,Fail
161,5,6,136,Fail
176,6,16,120,Pass
109,6,11,74,Fail
185,3,9,127,Pass
179,22,6,127,Pass
110,2,10,83,Pass
171,13,7,144.5,Pass
328,23,16,240.5,Fail
343,23,10,227.5,Pass
81,3,5,56.5,Pass
175,4,3,113,Pass
73,0,9,52.5,Fail
155,10,8,105,Fail
160,3,6,106,Pass
237,5,8,176,Fail
76,1,5,52,Fail
43,1,9,32,Fail
63,0,5,41,Pass
84,5,6,59,Pass
187,7,10,132,Fail
190,13,17,153.5,Fail
81,0,5,52,Fail
172,3,7,110.5,Pass
0,0,0,0,Pass
177.502366,3.59256,5.326118,132.806035,Fail
182.048937,12.637048,16.819596,152.470301,Fail
109.590388,5.569814,3.681321,72.52399,Fail
221.97144,4.082144,6.639571,143.956382,Fail
110.136302,5.396315,2.549782,89.405376,Fail
72.185081,0.743984,7.573932,47.853826,Fail
79.831775,0,4.274069,49.570607,Fail
88.138897,2.677913,15.329177,75.596029,Fail
82.739583,0,6.08041,56.747673,Fail
52.663116,0,10.885019,40.535224,Fail
56.43203,0.024354,8,44.094463,Fail
69.247897,0.53665,8.33361,51.664819,Fail
243.335727,12.083818,7.111749,152.102093,Fail
154.491451,4.859058,8,104.858661,Fail
127.430763,11.923016,4.969913,108.479751,Fail
110.114711,2.054047,3.398013,70.818542,Fail
103.596752,3.523113,3.802451,69.893458,Fail
110.145795,4.326207,9.54999,85.894875,Fail
98.491493,1.178868,6.47882,70.712361,Fail
97.43355,4.948409,3.919477,70.644713,Fail
329.471839,21.962947,18.337855,244.904581,Fail
127,15.915639,3.182878,94.690781,Fail
92.314787,3.715235,12.180053,72.127237,Fail
170.199405,6.197265,7.168374,132.494229,Fail
103.06262,4.07449,8.088135,69.252082,Fail
232.231602,22.038541,10.507598,152.0989,Fail
72.494487,0.557856,8.738673,51.60497,Fail
156.36184,6.482076,6.298121,121.881662,Fail
182.143002,3.581958,13.255941,140.129909,Fail
71.141319,0.684577,5.073416,48.391932,Fail
56.84108,1,8.957953,47.661585,Fail
211.531198,1.425384,6.460639,135.864074,Fail
188.360878,7.98688,11.782885,145.556349,Fail
67.995488,0.196689,7.263939,51.842369,Fail
122,1,6,79,Pass
129,1,9,88,Fail
117,0,12,84.5,Fail
122,1,15,86.5,Pass
180,0,15,125,Pass
235,8,19,184.5,Fail
168,2,15,111.5,Pass
159,0,5,122.5,Fail
126,6,6,86,Pass
142,6,11,100.5,Fail
166,11,20,174.5,Fail
121,4,12,89,Pass
201,1,17,124,Fail
174,6,13,123,Pass
106,0,17,81,Pass
160,5,18,106,Pass
131,7,5,91,Pass
117,8,12,103.5,Fail
70,2,9,54,Pass
108,25,10,89,Pass
162,4,5,103.5,Pass
61,0,5,41,Fail
124,1,3,123,Fail
133,2,21,128,Fail
208,4,10,138,Pass
171,0,16,110.5,Fail
42,5,1,51,Fail
0,0,0,0,Pass
0,0,0,0,Pass
0,0,0,0,Pass
127.794321,0.59256,9.108706,85.693965,Fail
117.04282,0.963705,3.541212,120.967004,Fail
201.390971,10.741889,19.15934,180.809974,Fail
154.941152,0.770536,3.680215,122.578373,Fail
130.768494,1.603685,7.398253,100.609182,Fail
184.30973,3.560155,19.573932,150.172721,Fail
175.355155,0.045069,13.711171,123.714697,Fail
117.26711,7.677913,11.821945,101.878809,Fail
58.526035,1.031379,1.617377,45.065408,Fail
128.196804,5.449544,3.306615,109.671467,Fail
138.948852,0.016236,11.620026,122.707819,Fail
166.504206,0,12.330288,115.818549,Fail
57.967997,2.452519,3.223499,63.613855,Fail
