@relation   union_files_*.arff_(total_attributes:_6_total_instances:_294)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute ENGAGEMENT numeric
@attribute EVALUATING/EXAMINING numeric
@attribute final_score {Fail,Pass}

@data
251,34,49,255.5,?,Pass
99,18,27,94,?,Fail
332,29,42,289.5,?,Fail
400,10,53,282,?,Fail
189,7,48,185.5,?,Fail
124,5,25,109,?,Pass
176,40,61,179,?,Pass
281,12,28,233,?,Fail
249,24,29,208.5,?,Fail
203,1,27,150,?,Fail
207,22,29,157.5,?,Pass
159,13,26,131.5,?,Pass
119,6,31,106.5,?,Pass
215,17,39,187,?,Pass
87,2,31,85,?,Fail
219,19,40,181,?,Fail
284,37,46,233.5,?,Pass
198,9,36,187,?,Pass
125,29,29,111.5,?,Pass
222,29,28,196,?,Fail
150,10,37,147.5,?,Pass
181,4,21,152.5,?,Fail
202,11,45,170,?,Fail
116,4,24,94.5,?,Pass
162,14,47,147.5,?,Pass
208,16,23,223,?,Fail
155,7,26,125.5,?,Pass
170,41,42,166,?,Pass
173,21,33,150.5,?,Pass
165,2,26,127,?,Pass
156,8,31,129,?,Pass
243,12,46,179.5,?,Pass
244,57,39,222.5,?,Pass
159,10,28,118,?,Fail
110,2,21,84,?,Fail
183,12,24,141,?,Pass
247,18,27,194.5,?,Pass
196,5,29,147,?,Pass
221,14,45,161,?,Fail
176,7,27,139.5,?,Pass
99,6,25,84.5,?,Fail
119,5,24,105.5,?,Pass
224,8,51,206,?,Fail
211,8,23,160.5,?,Fail
153,9,33,139,?,Fail
174,25,46,165,?,Fail
211,4,25,148,?,Pass
148,10,23,127.5,?,Fail
250,6,45,183,?,Fail
216,31,33,181,?,Pass
109,7,24,96.5,?,Fail
213,30,35,166.5,?,Fail
180,11,32,153,?,Pass
170,19,12,142.5,?,Fail
108,6,22,89,?,Pass
52,2,22,48.5,?,Pass
557,47,52,415,?,Pass
120,16,24,103,?,Pass
177,8,37,152.5,?,Pass
275,8,28,218.5,?,Fail
201,24,24,151.5,?,Fail
105,8,31,114.5,?,Fail
218,5,84,224.5,?,Fail
118,0,20,88,?,Pass
165,10,26,128,?,Pass
168,18,25,142,?,Fail
153,22,54,144,?,Fail
222,40,49,200.5,?,Pass
0,0,0,0,?,Fail
0,0,0,0,?,Fail
0,0,0,0,?,Fail
0,0,0,0,?,Pass
0,0,0,0,?,Fail
0,0,0,0,?,Pass
100.004732,13.518162,26.891294,95.647168,?,Fail
331.492274,24.181476,29.78175,212.777212,?,Fail
342.036602,11.827926,49.016511,263.918875,?,Fail
191.78321,24.722325,39.421395,182.521809,?,Fail
244.18562,26.94747,28,232.820456,?,Fail
249.523135,10.608279,31.272363,196.215928,?,Fail
189.566986,3.864792,25.355585,150.475506,?,Fail
87.235057,2.805217,29.753616,91.214566,?,Fail
218.218748,21.269035,35.771722,175.105158,?,Fail
219.901598,29.889909,28.268288,178.524812,?,Fail
186.033644,1.024354,24.51749,150.094463,?,Fail
197.129556,9.146601,46.000831,176.869793,?,Fail
210.018942,17.91061,27.724934,208.681571,?,Fail
153.594037,10,26.459535,124.814563,?,Fail
109.984616,3.794973,21.727435,94.014463,?,Fail
209.831499,11.632428,45,162.84172,?,Fail
105.99594,6.174371,24.300408,95.647662,?,Fail
245.744189,7.673793,47.175015,205.79851,?,Fail
214.728733,13.463397,29.693191,160.90412,?,Fail
153,21.832328,36.218171,142.552874,?,Fail
163.302872,23.037053,51.662145,159.416034,?,Fail
151.085729,10.337444,41.334612,128.704929,?,Fail
242.135672,20.774794,38.993234,185.014675,?,Fail
105.461767,6.401368,24.292093,85.982688,?,Fail
207.06262,17.805103,44.706215,169.521402,?,Fail
150.491623,18.606676,17.034702,129.563254,?,Fail
272.809445,16.925696,28.261327,212.533131,?,Fail
201.061902,16.377832,35.913154,163.74748,?,Fail
87.046801,3.745875,31,89.305532,?,Fail
237.434723,5.315423,83.045587,205.783147,?,Fail
156.465767,16.951455,24.915907,130.047738,?,Fail
157.460218,10.850769,38.662768,127.255681,?,Fail
0,0,0,0,?,Fail
91.960478,1.180136,18.866156,13.319787,?,Fail
0,0,0,0,?,Fail
66.305577,0.060138,9.815576,56.701235,?,Fail
237,187,184,418,0,Pass
522,395,237,643.5,0,Pass
254,176,129,322.5,0,Pass
192,68,174,255,0,Fail
266,85,115,274.5,0,Pass
203,262,177,375,0,Pass
386,217,194,456.5,0,Fail
238,28,169,239,0,Fail
215,122,125,267,0,Fail
422,470,279,638.5,0,Pass
186,42,172,219.5,0,Fail
663,268,281,702,0,Pass
339,314,197,472,0,Pass
260,13,177,263,0,Pass
308,179,170,366.5,0,Pass
443,224,309,536.5,0,Fail
307,136,195,388.5,0,Pass
215,98,64,228,0,Pass
215,57,111,219.5,0,Fail
224,33,137,232,0,Pass
516,129,159,505.5,0,Pass
234,47,94,221.5,0,Fail
240,13,148,275.5,0,Fail
256,86,162,312,0,Fail
543,316,357,661.5,0,Fail
303,59,144,285.5,0,Pass
260,147,192,333,0,Fail
273,242,140,367.5,0,Pass
308,101,136,327,0,Pass
294,114,181,329,0,Fail
486,303,375,645.5,0,Fail
273,142,206,372.5,0,Pass
163,36,77,158.5,0,Fail
187,209,232,399.5,0,Pass
261,207,207,378,0,Pass
324,12,247,336.5,0,Pass
145,48,103,191,0,Pass
181,25,107,183,0,Fail
288,59,179,305.5,0,Fail
214,36,190,249,0,Fail
