@relation   union_files_*.arff_(total_attributes:_5_total_instances:_100)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING REAL
@attribute COMMUNICATING REAL
@attribute WORKING/DOING REAL
@attribute ENGAGEMENT REAL
@attribute final_score {Fail,Pass}

@data
177.00,4.00,5.00,130.5,Fail
182.00,3.00,14.00,134.0,Fail
276.00,12.00,9.00,193.5,Pass
113.00,1.00,4.00,74.0,Fail
220.00,1.00,4.00,138.0,Fail
211.00,4.00,45.00,148.0,Pass
117.00,1.00,3.00,89.5,Fail
192.00,152.00,12.00,213.0,Pass
68.00,0.00,8.00,44.0,Fail
78.00,0.00,4.00,49.0,Fail
76.00,2.00,6.00,53.0,Pass
88.00,3.00,18.00,81.0,Fail
112.00,5.00,4.00,81.5,Pass
124.00,4.00,7.00,97.5,Pass
193.00,10.00,19.00,134.5,Pass
83.00,0.00,12.00,60.0,Fail
181.00,9.00,5.00,122.5,Pass
48.00,0.00,11.00,35.5,Fail
273.00,19.00,7.00,179.0,Pass
362.00,12.00,18.00,258.5,Pass
230.00,28.00,22.00,174.0,Pass
150.00,1.00,9.00,101.0,Pass
53.00,3.00,8.00,46.5,Fail
208.00,14.00,3.00,148.0,Pass
67.00,1.00,8.00,51.0,Fail
256.00,21.00,6.00,162.5,Fail
154.00,1.00,8.00,104.5,Fail
127.00,13.00,4.00,122.5,Fail
106.00,6.00,2.00,70.0,Fail
98.00,3.00,8.00,68.5,Fail
169.00,33.00,5.00,145.5,Pass
239.00,2.00,14.00,144.5,Pass
208.00,5.00,8.00,131.5,Pass
119.00,1.00,18.00,83.5,Pass
116.00,4.00,7.00,86.0,Fail
97.00,3.00,8.00,69.5,Fail
131.00,21.00,4.00,109.5,Pass
263.00,55.00,5.00,198.0,Pass
208.00,29.00,9.00,151.5,Pass
101.00,1.00,3.00,71.0,Fail
210.00,3.00,13.00,164.0,Pass
202.00,1.00,14.00,152.0,Pass
331.00,20.00,24.00,246.5,Fail
127.00,16.00,2.00,92.5,Fail
202.00,23.00,12.00,146.5,Pass
94.00,5.00,9.00,70.5,Fail
161.00,5.00,6.00,136.0,Fail
176.00,6.00,16.00,120.0,Pass
109.00,6.00,11.00,74.0,Fail
185.00,3.00,9.00,127.0,Pass
179.00,22.00,6.00,127.0,Pass
110.00,2.00,10.00,83.0,Pass
171.00,13.00,7.00,144.5,Pass
328.00,23.00,16.00,240.5,Fail
343.00,23.00,10.00,227.5,Pass
81.00,3.00,5.00,56.5,Pass
175.00,4.00,3.00,113.0,Pass
73.00,0.00,9.00,52.5,Fail
155.00,10.00,8.00,105.0,Fail
160.00,3.00,6.00,106.0,Pass
237.00,5.00,8.00,176.0,Fail
76.00,1.00,5.00,52.0,Fail
43.00,1.00,9.00,32.0,Fail
63.00,0.00,5.00,41.0,Pass
84.00,5.00,6.00,59.0,Pass
187.00,7.00,10.00,132.0,Fail
190.00,13.00,17.00,153.5,Fail
81.00,0.00,5.00,52.0,Fail
172.00,3.00,7.00,110.5,Pass
0.00,0.00,0.00,0.0,Pass
122.00,1.00,6.00,79.0,Pass
129.00,1.00,9.00,88.0,Fail
117.00,0.00,12.00,84.5,Fail
122.00,1.00,15.00,86.5,Pass
180.00,0.00,15.00,125.0,Pass
235.00,8.00,19.00,184.5,Fail
168.00,2.00,15.00,111.5,Pass
159.00,0.00,5.00,122.5,Fail
126.00,6.00,6.00,86.0,Pass
142.00,6.00,11.00,100.5,Fail
166.00,11.00,20.00,174.5,Fail
121.00,4.00,12.00,89.0,Pass
201.00,1.00,17.00,124.0,Fail
174.00,6.00,13.00,123.0,Pass
106.00,0.00,17.00,81.0,Pass
160.00,5.00,18.00,106.0,Pass
131.00,7.00,5.00,91.0,Pass
117.00,8.00,12.00,103.5,Fail
70.00,2.00,9.00,54.0,Pass
108.00,25.00,10.00,89.0,Pass
162.00,4.00,5.00,103.5,Pass
61.00,0.00,5.00,41.0,Fail
124.00,1.00,3.00,123.0,Fail
133.00,2.00,21.00,128.0,Fail
208.00,4.00,10.00,138.0,Pass
171.00,0.00,16.00,110.5,Fail
42.00,5.00,1.00,51.0,Fail
0.00,0.00,0.00,0.0,Pass
0.00,0.00,0.00,0.0,Pass
0.00,0.00,0.00,0.0,Pass
