@relation   union_files_*.arff_(total_attributes:_6_total_instances:_198)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING REAL
@attribute COMMUNICATING REAL
@attribute WORKING/DOING REAL
@attribute ENGAGEMENT REAL
@attribute EVALUATING/EXAMINING REAL
@attribute final_score {Fail,Pass}

@data
251.00,34.00,49.00,255.5,?,Pass
99.00,18.00,27.00,94.0,?,Fail
332.00,29.00,42.00,289.5,?,Fail
400.00,10.00,53.00,282.0,?,Fail
189.00,7.00,48.00,185.5,?,Fail
124.00,5.00,25.00,109.0,?,Pass
176.00,40.00,61.00,179.0,?,Pass
281.00,12.00,28.00,233.0,?,Fail
249.00,24.00,29.00,208.5,?,Fail
203.00,1.00,27.00,150.0,?,Fail
207.00,22.00,29.00,157.5,?,Pass
159.00,13.00,26.00,131.5,?,Pass
119.00,6.00,31.00,106.5,?,Pass
215.00,17.00,39.00,187.0,?,Pass
87.00,2.00,31.00,85.0,?,Fail
219.00,19.00,40.00,181.0,?,Fail
284.00,37.00,46.00,233.5,?,Pass
198.00,9.00,36.00,187.0,?,Pass
125.00,29.00,29.00,111.5,?,Pass
222.00,29.00,28.00,196.0,?,Fail
150.00,10.00,37.00,147.5,?,Pass
181.00,4.00,21.00,152.5,?,Fail
202.00,11.00,45.00,170.0,?,Fail
116.00,4.00,24.00,94.5,?,Pass
162.00,14.00,47.00,147.5,?,Pass
208.00,16.00,23.00,223.0,?,Fail
155.00,7.00,26.00,125.5,?,Pass
170.00,41.00,42.00,166.0,?,Pass
173.00,21.00,33.00,150.5,?,Pass
165.00,2.00,26.00,127.0,?,Pass
156.00,8.00,31.00,129.0,?,Pass
243.00,12.00,46.00,179.5,?,Pass
244.00,57.00,39.00,222.5,?,Pass
159.00,10.00,28.00,118.0,?,Fail
110.00,2.00,21.00,84.0,?,Fail
183.00,12.00,24.00,141.0,?,Pass
247.00,18.00,27.00,194.5,?,Pass
196.00,5.00,29.00,147.0,?,Pass
221.00,14.00,45.00,161.0,?,Fail
176.00,7.00,27.00,139.5,?,Pass
99.00,6.00,25.00,84.5,?,Fail
119.00,5.00,24.00,105.5,?,Pass
224.00,8.00,51.00,206.0,?,Fail
211.00,8.00,23.00,160.5,?,Fail
153.00,9.00,33.00,139.0,?,Fail
174.00,25.00,46.00,165.0,?,Fail
211.00,4.00,25.00,148.0,?,Pass
148.00,10.00,23.00,127.5,?,Fail
250.00,6.00,45.00,183.0,?,Fail
216.00,31.00,33.00,181.0,?,Pass
109.00,7.00,24.00,96.5,?,Fail
213.00,30.00,35.00,166.5,?,Fail
180.00,11.00,32.00,153.0,?,Pass
170.00,19.00,12.00,142.5,?,Fail
108.00,6.00,22.00,89.0,?,Pass
52.00,2.00,22.00,48.5,?,Pass
557.00,47.00,52.00,415.0,?,Pass
120.00,16.00,24.00,103.0,?,Pass
177.00,8.00,37.00,152.5,?,Pass
275.00,8.00,28.00,218.5,?,Fail
201.00,24.00,24.00,151.5,?,Fail
105.00,8.00,31.00,114.5,?,Fail
218.00,5.00,84.00,224.5,?,Fail
118.00,0.00,20.00,88.0,?,Pass
165.00,10.00,26.00,128.0,?,Pass
168.00,18.00,25.00,142.0,?,Fail
153.00,22.00,54.00,144.0,?,Fail
222.00,40.00,49.00,200.5,?,Pass
0.00,0.00,0.00,0.0,?,Fail
0.00,0.00,0.00,0.0,?,Fail
0.00,0.00,0.00,0.0,?,Fail
0.00,0.00,0.00,0.0,?,Pass
0.00,0.00,0.00,0.0,?,Fail
0.00,0.00,0.00,0.0,?,Pass
237.00,187.00,184.00,418.0,0.00,Pass
522.00,395.00,237.00,643.5,0.00,Pass
254.00,176.00,129.00,322.5,0.00,Pass
192.00,68.00,174.00,255.0,0.00,Fail
266.00,85.00,115.00,274.5,0.00,Pass
203.00,262.00,177.00,375.0,0.00,Pass
386.00,217.00,194.00,456.5,0.00,Fail
238.00,28.00,169.00,239.0,0.00,Fail
215.00,122.00,125.00,267.0,0.00,Fail
422.00,470.00,279.00,638.5,0.00,Pass
186.00,42.00,172.00,219.5,0.00,Fail
663.00,268.00,281.00,702.0,0.00,Pass
