@relation logs_20161215-1323.xls-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute ENGAGEMENT numeric
@attribute final_score {Fail,Pass}

@data

135,16,27,126,Pass
94,21,18,90,Pass
128,15,22,132,Fail
98,15,16,85,Pass
97,13,18,80.5,Pass
60,9,13,61,Pass
84,6,22,75,Fail
139,0,14,93.5,Fail
58,11,17,58.5,Fail
115,6,22,96.5,Pass
105,20,32,115,Fail
98,5,10,81.5,Fail
35,2,11,29,Fail
61,0,12,54.5,Pass
141,60,25,180,Pass
74,8,22,62,Pass
80,25,20,105,Fail
146,15,27,120.5,Fail
102,14,28,91.5,Pass
169,17,41,146.5,Pass
92,14,15,75.5,Pass
124,14,29,100.5,Pass
151,9,25,116.5,Pass
71,8,26,69.5,Fail
132,29,29,133.5,Fail
70,7,17,58.5,Fail
74,5,18,74,Pass
102,0,24,81.5,Pass
137,15,18,115,Pass
111,25,25,119,Fail
172,21,18,140,Pass
224,48,32,209.5,Pass
45,6,13,41,Pass
82,5,11,64.5,Fail
123,24,17,116.5,Pass
97,16,19,146.5,Pass
140,15,27,120.5,Fail
120,20,44,123.5,Pass
74,2,13,59,Pass
84,7,14,67,Fail
99,5,10,81,Fail
63,15,15,58,Pass
112,16,16,113,Fail
209,27,27,183.5,Fail
100,9,15,77,Fail
89,3,16,77.5,Fail
54,20,13,122.5,Fail
90,6,11,61.5,Pass
76,12,36,80,Fail
149,12,21,123,Pass
66,6,13,56.5,Pass
64,0,12,50,Fail
108,7,12,77.5,Pass
116,2,24,90.5,Fail
62,9,20,61,Pass
102,18,23,98,Fail
178,87,36,269,Fail
280,32,54,230.5,Fail
34,3,13,33,Fail
52,0,8,39,Pass
61,9,18,58,Fail
55,3,16,49,Pass
80,13,15,71.5,Pass
145,2,18,97.5,Fail
62,4,11,47,Pass
124,36,31,136,Fail
215,21,33,194,Fail
243,18,31,236,Fail
88,7,37,84.5,Fail
59,11,20,71.5,Pass
79,9,10,59.5,Pass
204,5,37,156,Pass
135,23,23,122,Pass
41,9,11,38.5,Fail
77,24,18,82,Pass
90,7,27,87,Pass
107,19,13,85.5,Pass
86,7,16,66,Fail
157,22,20,138,Fail
122,20,39,114.5,Fail
358,139,34,360,Pass
132,19,19,106.5,Fail
91,2,21,76,Pass
128,10,23,109,Pass
186,31,32,164,Pass
69,8,18,64.5,Fail
69,8,7,56.5,Fail
21,5,9,22,Fail
90,18,28,127.5,Fail
75,13,16,77.5,Pass
71,12,19,65,Fail
161,2,18,109,Pass
126,3,14,91,Fail
167,35,33,167,Fail
74,4,21,65,Fail
139,63,29,183.5,Fail
97,12,19,86.5,Pass
159,48,32,162.5,Pass
155,9,40,146,Pass
105,13,17,84.5,Pass
59,11,24,68,Pass
66,7,21,58,Pass
52,6,18,45.5,Fail
59,7,18,65.5,Pass
103,6,32,84,Fail
199,12,41,158,Fail
97,4,28,80.5,Fail
50,8,11,42.5,Fail
97,16,34,90,Pass
18,3,2,15.5,Pass
54,2,3,44,Pass
64,9,9,58.5,Pass
155,16,43,137,Pass
45,1,14,39.5,Fail
128,9,9,99,Fail
92,7,13,82.5,Fail
174,11,38,153.5,Fail
87,10,16,68,Fail
182,38,33,176,Pass
49,25,19,58.5,Pass
54,10,20,53,Fail
81,4,30,72.5,Pass
179,10,24,127.5,Fail
0,0,0,0,Fail
128.401893,20.704157,22.253648,132.988301,Fail
84,6.963705,14.481077,67.422441,Fail
132.667864,2.741889,14,92.577494,Fail
59.275638,8.688392,17.659893,59.440481,Fail
95.640412,18.241474,30.199126,115.060657,Fail
99.04627,7.975938,10.710114,79.332223,Fail
38.663549,8.684515,11,30.806921,Fail
80.128213,22.10122,18.753616,92.841066,Fail
145.218748,15,27,120.5,Fail
70.533688,8,25.693385,66.538104,Fail
133.830416,15.11365,27.827503,120.991207,Fail
69.62535,7.46335,17.33361,61.159275,Fail
114.120183,18.631299,24.166188,123.431895,Fail
82.982902,5.857568,11.924279,66.293306,Fail
139.815387,15,25.787608,129.713306,Fail
85.763447,9.367572,15.398013,67.204636,Fail
92.00406,4.651258,14.197549,77.748599,Fail
103.636851,16.326207,20.462482,112.868594,Fail
193.339321,34.28453,28.825416,170.164027,Fail
94.395578,3.077387,15.153246,77.355287,Fail
90.528161,5.617263,13.876695,78.829516,Fail
85.47444,20,24.237343,121.952305,Fail
74.595656,12,29.993234,77.675375,Fail
62.93853,5.387692,13.75256,57.011541,Fail
122.477142,6.492857,9.440677,97.837691,Fail
114.414422,17.300757,23.4577,91.531627,Fail
183.476387,48.507937,34.693364,249.309334,Fail
273.686016,64.247635,43.788725,255.988,Fail
49.958399,6.545104,11.24802,41.113473,Fail
67.073351,9.946268,18.024472,61.15706,Fail
137.502749,4.228158,18.042047,104.918645,Fail
135.893914,16.488845,28.640426,126.01781,Fail
206.258016,13.48032,38.962417,180.699003,Fail
182.621909,31.571569,34.773231,241.20181,Fail
81.219817,7.24932,36.103686,83.18456,Fail
36.427202,8.789518,11,32.162803,Fail
85.05531,6.937213,19.283344,66.678668,Fail
147.642593,18.410968,20.957352,137.212987,Fail
126.496849,19.732102,20.043043,111.510836,Fail
126.237986,16.655936,16.101238,112.977402,Fail
69.63405,10.996161,18.65675,64.82495,Fail
62.705474,9.6679,9.502963,58.340562,Fail
29.33029,5.180017,10.429666,31.389846,Fail
108.253207,16.796171,20.344637,123.101176,Fail
69.406115,10.659724,18.420638,64.739302,Fail
126.743881,8.142762,9.964618,94.109834,Fail
171.758651,25.011807,33.781115,160.400623,Fail
73.285351,4.0889,18.167385,63.194441,Fail
154.462627,59.005151,27.151605,165.54104,Fail
55.567787,10.049449,17.485071,50.036758,Fail
102.783888,8.916048,20.753555,77.803012,Fail
168.728255,27.787903,39.203409,162.001395,Fail
95.622832,5.966925,24.393812,77.580657,Fail
49.222107,4.82617,11.959125,40.850922,Fail
37.53803,1.544784,11.769147,30.266281,Fail
126.443869,8.83481,10.270812,98.555273,Fail
93.172664,5.040031,11.889104,81.628206,Fail
173.809115,19.734257,36.193243,140.806393,Fail
87.194745,8.4148,16,76.841968,Fail
63.451021,9.724261,14.024615,51.091022,Fail
176.875209,11.732254,21.83786,132.840757,Fail
29.182024,0.511433,7.046275,20.778276,Fail
