@relation   union_files_*.arff_(total_attributes:_6_total_instances:_113)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute EVALUATING/EXAMINING numeric
@attribute ENGAGEMENT numeric
@attribute final_score {Fail,Pass}

@data
126,30,11,98,153,Fail
144,21,19,43,157,Pass
97,10,6,31,83,Pass
102,7,3,27,106.5,Pass
95,8,1,46,90.5,Pass
89,12,2,50,86.5,Fail
92,10,2,99,117,Pass
85,10,10,61,95,Pass
104,11,10,56,109,Pass
81,5,0,17,60,Pass
153,13,7,30,127,Pass
82,4,8,34,74,Fail
156,56,7,37,168,Fail
68,9,0,39,72.5,Pass
120,17,6,86,132.5,Fail
124,13,6,37,113.5,Pass
109,20,9,51,114.5,Pass
78,3,1,27,74.5,Pass
58,3,0,55,65,Pass
188,33,10,32,162,Pass
118,4,0,85,117.5,Fail
125.397161,24.703283,10.818823,90.093593,138.429838,Fail
124.657077,28.917577,10.524754,94.979943,112.912094,Fail
83.115377,6.95202,2.813222,42.628155,81.291923,Fail
150.357112,41.25012,6.860237,71.052451,139.414414,Fail
93.58014,16.88291,3.17996,76.098922,129.032161,Fail
119.154201,6.663876,3.740183,85.184707,117.660266,Fail
208,2,5,38,137.5,Pass
40,2,1,46,50.5,Fail
78,7,6,86,96,Fail
143,10,11,40,133,Pass
230,39,16,67,218,Pass
74,6,8,38,79,Pass
126,20,11,37,146,Pass
0,0,0,0,5.5,Fail
113,11,7,32,94.5,Pass
119,3,17,42,104.5,Pass
0,0,0,0,6,Fail
263,1,21,28,186.5,Fail
108,0,3,34,87,Pass
184,30,14,36,162.5,Pass
184,5,6,26,126.5,Pass
205,13,20,46,178.5,Pass
183,7,2,28,138.5,Pass
107,12,7,0,133.5,Fail
72,7,3,49,72.5,Pass
71,18,2,26,66.5,Pass
119,4,11,47,113.5,Fail
127,1,3,68,124,Pass
83,5,3,26,69,Pass
0,0,0,0,4.5,Fail
49,8,0,26,55.5,Pass
61,0,2,26,54,Fail
251,1,14,56,177.5,Fail
86,0,2,27,70,Pass
41,7,10,0,102,Pass
122,1,12,54,113,Pass
159,10,25,48,145,Pass
79,8,19,37,81.5,Fail
42.109938,1.18512,1.036235,32.822655,52.987589,Fail
61.617018,0.420942,2.21122,29.775071,79.318678,Fail
0,0,0,0,5.791677,Fail
0,0,0,0,4.792158,Fail
130.048444,1.257599,11.129861,20.299161,182.504447,Fail
113.925203,10.360692,9.493455,8.681233,133.286312,Fail
90.796944,2.04994,9.860825,44.265617,101.226585,Fail
0,0,0,0,4.55749,Fail
54.117931,0,0.016236,10.757542,7.332581,Fail
255.495794,1,16.335271,43.590051,182.03722,Fail
104.474805,6.888251,16.27268,39.657896,85.23345,Fail
180,4,32,68,158.5,Fail
125,3,27,41,125.5,Fail
107,3,28,46,110.5,Fail
113,6,24,44,113,Pass
19,1,1,3,21,Fail
115,8,40,81,143.5,Pass
126,12,24,60,131,Pass
37,1,4,0,24,Pass
91,1,5,154,144.5,Pass
64,9,6,27,64.5,Fail
118,9,24,46,117.5,Pass
85,9,18,132,134.5,Pass
126,8,15,58,119.5,Pass
72,2,7,26,62.5,Fail
103,4,19,71,114.5,Pass
183,15,19,34,138.5,Pass
133,18,44,35,159,Pass
84,21,24,37,101.5,Pass
69,5,5,48,70.5,Fail
130,19,26,59,140.5,Pass
64,0,12,26,62.5,Fail
135,1,20,58,122,Fail
78,2,24,250,195,Pass
214,7,33,88,204.5,Pass
163,25,19,23,132,Pass
120,25,13,59,122.5,Pass
71,5,3,105,97.5,Fail
134,43,35,29,145.5,Pass
117,4,17,53,109,Fail
83,0,19,38,91,Pass
0,0,0,0,0,Fail
175.478705,2.777681,31.565175,61.411328,132.558004,Fail
178.003764,3.939865,31.735975,66.301218,138.606753,Fail
108.593396,3.369003,18.490907,49.774818,109.624969,Fail
26.05361,0.621798,2.53739,18.983804,54.416953,Fail
68.261268,8.906328,5.29499,32.775629,64.952327,Fail
67.383198,1.590173,10.116819,26,62.5,Fail
87.477864,4.02497,7.911225,47.739583,78.751035,Fail
64,3.888062,10.601065,26.889909,62.576654,Fail
127.779469,1.915208,3.138004,85.553675,98.425737,Fail
70.250701,5,3.66722,79.73689,83.88834,Fail
122.094961,3.722063,20.40915,49.810525,110.92506,Fail
22.18269,1.434645,6.736902,5.446811,10.790551,Fail
